"","primary","colname","seq_batch"
"19891053-MTEMP","19891053-MTG","19891053-MTEMP","IGFQ001167"
"19891053-SOM","19891053-SSC","19891053-SOM","IGFQ001167"
"19920001-MTEMP","19920001-MTG","19920001-MTEMP","IGFQ001167"
"19920001-SOM","19920001-SSC","19920001-SOM","IGFQ001167"
"19920194-MTEMP","19920194-MTG","19920194-MTEMP","IGFQ001167"
"19920194-SOM","19920194-SSC","19920194-SOM","IGFQ001167"
"19920200-MTEMP","19920200-MTG","19920200-MTEMP","IGFQ001167"
"19920200-SOM","19920200-SSC","19920200-SOM","IGFQ001167"
"19950030-MTEMP","19950030-MTG","19950030-MTEMP","IGFQ001167"
"19950030-SOM","19950030-SSC","19950030-SOM","IGFQ001167"
"A019-12-MTEMP","A019/12-MTG","A019-12-MTEMP","IGFQ001167"
"A019-12-SOM","A019/12-SSC","A019-12-SOM","IGFQ001167"
"A051-14-MTEMP","A051/14-MTG","A051-14-MTEMP","IGFQ001167"
"A051-14-SOM","A051/14-SSC","A051-14-SOM","IGFQ001167"
"A053-11-MTEMP","A053/11-MTG","A053-11-MTEMP","IGFQ001167"
"A053-11-SOM","A053/11-SSC","A053-11-SOM","IGFQ001167"
"A064-13-MTEMP","A064/13-MTG","A064-13-MTEMP","IGFQ001167"
"A064-13-SOM","A064/13-SSC","A064-13-SOM","IGFQ001167"
"A074-05-MTEMP","A074/05-MTG","A074-05-MTEMP","IGFQ001167"
"A074-05-SOM","A074/05-SSC","A074-05-SOM","IGFQ001167"
"A096-14-MTEMP","A096/14-MTG","A096-14-MTEMP","IGFQ001167"
"A096-14-SOM","A096/14-SSC","A096-14-SOM","IGFQ001167"
"A115-17-MTEMP","A115/17-MTG","A115-17-MTEMP","IGFQ001167"
"A115-17-SOM","A115/17-SSC","A115-17-SOM","IGFQ001167"
"A127-11-MTEMP","A127/11-MTG","A127-11-MTEMP","IGFQ001167"
"A127-11-SOM","A127/11-SSC","A127-11-SOM","IGFQ001167"
"A163-17-MTEMP","A163/17-MTG","A163-17-MTEMP","IGFQ001167"
"A163-17-SOM","A163/17-SSC","A163-17-SOM","IGFQ001167"
"A166-04-MTEMP","A166/04-MTG","A166-04-MTEMP","IGFQ001167"
"A166-04-SOM","A166/04-SSC","A166-04-SOM","IGFQ001167"
"A210-05-MTEMP","A210/05-MTG","A210-05-MTEMP","IGFQ001167"
"A210-05-SOM","A210/05-SSC","A210-05-SOM","IGFQ001167"
"A272-15-MTEMP","A272/15-MTG","A272-15-MTEMP","IGFQ001167"
"A272-15-SOM","A272/15-SSC","A272-15-SOM","IGFQ001167"
"A277-12-MTEMP","A277/12-MTG","A277-12-MTEMP","IGFQ001167"
"A277-12-SOM","A277/12-SSC","A277-12-SOM","IGFQ001167"
"A282-14-MTEMP","A282/14-MTG","A282-14-MTEMP","IGFQ001167"
"A282-14-SOM","A282/14-SSC","A282-14-SOM","IGFQ001167"
"A319-11-MTEMP","A319/11-MTG","A319-11-MTEMP","IGFQ001167"
"A319-11-SOM","A319/11-SSC","A319-11-SOM","IGFQ001167"
"A354-16-MTEMP","A354/16-MTG","A354-16-MTEMP","IGFQ001167"
"A354-16-SOM","A354/16-SSC","A354-16-SOM","IGFQ001167"
"A402-14-MTEMP","A402/14-MTG","A402-14-MTEMP","IGFQ001167"
"A402-14-SOM","A402/14-SSC","A402-14-SOM","IGFQ001167"
"DPM16-44-MTEMP","DPM16/44-MTG","DPM16-44-MTEMP","IGFQ001167"
"DPM16-44-SOM","DPM16/44-SSC","DPM16-44-SOM","IGFQ001167"
"PDC016-MTEMP","PDC016-MTG","PDC016-MTEMP","IGFQ001167"
"PDC016-SOM","PDC016-SSC","PDC016-SOM","IGFQ001167"
"PDC026-MTEMP","PDC026-MTG","PDC026-MTEMP","IGFQ001167"
"PDC026-SOM","PDC026-SSC","PDC026-SOM","IGFQ001167"
"IGF122081","20185945-SSC","IGF122081","IGFQ001404"
"IGF122082","20152915-SSC","IGF122082","IGFQ001404"
"IGF122083","19960052-SSC","IGF122083","IGFQ001404"
"IGF122087","20131157-SSC","IGF122087","IGFQ001404"
"IGF122092","20060099-SSC","IGF122092","IGFQ001404"
"IGF122099","20110272-MTG","IGF122099","IGFQ001404"
"IGF122100","20060093-MTG","IGF122100","IGFQ001404"
"IGF122101","20130400-SSC","IGF122101","IGFQ001404"
"IGF122103","DPM13/19-MTG","IGF122103","IGFQ001404"
"IGF122105","20050033-SSC","IGF122105","IGFQ001404"
"IGF122107","20030099-MTG","IGF122107","IGFQ001404"
"IGF122109","20152915-MTG","IGF122109","IGFQ001404"
"IGF122110","19980098-MTG","IGF122110","IGFQ001404"
"IGF122113","DPM13/42-MTG","IGF122113","IGFQ001404"
"IGF122117","A153/12-SSC","IGF122117","IGFQ001404"
"IGF122118","A253/12-MTG","IGF122118","IGFQ001404"
"IGF122119","20130400-MTG","IGF122119","IGFQ001404"
"IGF122120","DPM13/19-SSC","IGF122120","IGFQ001404"
"IGF122122","BC454/945-MTG","IGF122122","IGFQ001404"
"IGF122124","19950136-SSC","IGF122124","IGFQ001404"
"IGF122127","20110272-SSC","IGF122127","IGFQ001404"
"IGF122128","20050102-SSC","IGF122128","IGFQ001404"
"IGF122132","A301/10-MTG","IGF122132","IGFQ001404"
"IGF122133","20030099-SSC","IGF122133","IGFQ001404"
"IGF122137","20060099-MTG","IGF122137","IGFQ001404"
"IGF122141","19960052-MTG","IGF122141","IGFQ001404"
"IGF122144","20050102-MTG","IGF122144","IGFQ001404"
"IGF122145","A187/96-SSC","IGF122145","IGFQ001404"
"IGF122149","20196928-MTG","IGF122149","IGFQ001404"
"IGF122150","A153/12-MTG","IGF122150","IGFQ001404"
"IGF122154","20060093-SSC","IGF122154","IGFQ001404"
"IGF122156","DPM13/42-SSC","IGF122156","IGFQ001404"
"IGF122157","A013/03-MTG","IGF122157","IGFQ001404"
"IGF122159","20131157-MTG","IGF122159","IGFQ001404"
"IGF122166","A329/10-SSC","IGF122166","IGFQ001404"
"IGF122167","20196919-SSC","IGF122167","IGFQ001404"
"IGF122168","20174902-MTG","IGF122168","IGFQ001404"
"IGF122170","A248/10-MTG","IGF122170","IGFQ001404"
"IGF122172","20196928-SSC","IGF122172","IGFQ001404"
"IGF122173","20196919-MTG","IGF122173","IGFQ001404"
"IGF122182","20150975-SSC","IGF122182","IGFQ001404"
"IGF122183","20141901-SSC","IGF122183","IGFQ001404"
"IGF122184","20185945-MTG","IGF122184","IGFQ001404"
"IGF122191","20150975-MTG","IGF122191","IGFQ001404"
"IGF122193","A301/10-SSC","IGF122193","IGFQ001404"
"IGF122194","20174902-SSC","IGF122194","IGFQ001404"
"IGF122199","A253/12-SSC","IGF122199","IGFQ001404"
"IGF122201","A248/10-SSC","IGF122201","IGFQ001404"
"IGF122203","20110476-SSC","IGF122203","IGFQ001404"
"IGF122212","A048/13-SSC","IGF122212","IGFQ001404"
"IGF122215","BC454/945-SSC","IGF122215","IGFQ001404"
"IGF122220","20141901-MTG","IGF122220","IGFQ001404"
"IGF122221","A048/13-MTG","IGF122221","IGFQ001404"
"IGF122223","20050033-MTG","IGF122223","IGFQ001404"
"IGF122225","19950136-MTG","IGF122225","IGFQ001404"
"IGF122226","19980098-SSC","IGF122226","IGFQ001404"
"IGF122231","A187/96-MTG","IGF122231","IGFQ001404"
"IGF122234","A029/04-SSC","IGF122234","IGFQ001404"
"IGF122236","A029/04-MTG","IGF122236","IGFQ001404"
"IGF122240","A329/10-MTG","IGF122240","IGFQ001404"
"IGF122241","20110476-MTG","IGF122241","IGFQ001404"
"IGF122246","A013/03-SSC","IGF122246","IGFQ001404"
